"population","sampleSize","pollster","startDate","endDate","pollsterRating","wtpolls","wtplus","wtnow","polltype","choice","party","pct","adj_pct","polltypeA","polltype1"
"lv",1334,"Ipsos",2015-12-21,2015-12-25,"A-",1.48e-06,1.48e-06,6.11e-09,"now16","Clinton","D",42.1,40.00432,"now",17
"lv",1334,"Ipsos",2015-12-21,2015-12-25,"A-",1.48e-06,1.48e-06,6.11e-09,"polls16","Trump","R",35.9,33.9605,"polls",17
"lv",1334,"Ipsos",2015-12-21,2015-12-25,"A-",1.48e-06,1.48e-06,6.11e-09,"plus16","Trump","R",35.9,33.98347,"plus",17
"lv",1334,"Ipsos",2015-12-21,2015-12-25,"A-",1.48e-06,1.48e-06,6.11e-09,"now16","Trump","R",35.9,33.62455,"now",17
"rv",2173,"Morning Consult",2016-01-08,2016-01-10,"",1.52e-06,1.52e-06,9.03e-09,"polls17","Clinton","D",42,41.32401,"polls",18
"rv",2173,"Morning Consult",2016-01-08,2016-01-10,"",1.52e-06,1.52e-06,9.03e-09,"plus17","Clinton","D",42,41.26286,"plus",18
"rv",2173,"Morning Consult",2016-01-08,2016-01-10,"",1.52e-06,1.52e-06,9.03e-09,"now17","Clinton","D",42,41.86508,"now",18
"rv",2173,"Morning Consult",2016-01-08,2016-01-10,"",1.52e-06,1.52e-06,9.03e-09,"polls17","Trump","R",44,44.68135,"polls",18
"rv",2173,"Morning Consult",2016-01-08,2016-01-10,"",1.52e-06,1.52e-06,9.03e-09,"plus17","Trump","R",44,44.7794,"plus",18
"rv",2173,"Morning Consult",2016-01-08,2016-01-10,"",1.52e-06,1.52e-06,9.03e-09,"now17","Trump","R",44,44.39307,"now",18
"lv",1367,"Ipsos",2015-12-22,2015-12-26,"A-",1.57e-06,1.57e-06,6.59e-09,"polls18","Clinton","D",42.1,39.62106,"polls",19
"lv",1367,"Ipsos",2015-12-22,2015-12-26,"A-",1.57e-06,1.57e-06,6.59e-09,"plus18","Clinton","D",42.1,39.62101,"plus",19
