"population","sampleSize","pollster","startDate","endDate","pollsterRating","wtpolls","wtplus","wtnow","polltype","choice","party","pct","adj_pct","polltypeA","polltype1"
"lv",1367,"Ipsos",2015-12-22,2015-12-26,"A-",6.4e-06,6.4e-06,2.01e-08,"plus19","Clinton","D",42.1,37.44001,"plus",20
"lv",1367,"Ipsos",2015-12-22,2015-12-26,"A-",6.4e-06,6.4e-06,2.01e-08,"now19","Clinton","D",42.1,37.33051,"now",20
"lv",1367,"Ipsos",2015-12-22,2015-12-26,"A-",6.4e-06,6.4e-06,2.01e-08,"polls19","Trump","R",36.2,34.43395,"polls",20
"lv",1367,"Ipsos",2015-12-22,2015-12-26,"A-",6.4e-06,6.4e-06,2.01e-08,"plus19","Trump","R",36.2,34.3589,"plus",20
"lv",1367,"Ipsos",2015-12-22,2015-12-26,"A-",6.4e-06,6.4e-06,2.01e-08,"now19","Trump","R",36.2,34.94283,"now",20
"lv",1413,"Ipsos",2015-12-23,2015-12-27,"A-",6.79e-06,6.79e-06,2.18e-08,"polls20","Clinton","D",42.4,37.7506,"polls",21
"lv",1413,"Ipsos",2015-12-23,2015-12-27,"A-",6.79e-06,6.79e-06,2.18e-08,"plus20","Clinton","D",42.4,37.73494,"plus",21
"lv",1413,"Ipsos",2015-12-23,2015-12-27,"A-",6.79e-06,6.79e-06,2.18e-08,"now20","Clinton","D",42.4,37.63023,"now",21
"lv",1413,"Ipsos",2015-12-23,2015-12-27,"A-",6.79e-06,6.79e-06,2.18e-08,"polls20","Trump","R",35.6,33.85527,"polls",21
"lv",1413,"Ipsos",2015-12-23,2015-12-27,"A-",6.79e-06,6.79e-06,2.18e-08,"plus20","Trump","R",35.6,33.78043,"plus",21
"lv",1413,"Ipsos",2015-12-23,2015-12-27,"A-",6.79e-06,6.79e-06,2.18e-08,"now20","Trump","R",35.6,34.35715,"now",21
"lv",1203,"Ipsos",2015-12-31,2016-01-04,"A-",7.06e-06,7.06e-06,2.75e-08,"polls21","Clinton","D",42.8,38.10837,"polls",22
"lv",1203,"Ipsos",2015-12-31,2016-01-04,"A-",7.06e-06,7.06e-06,2.75e-08,"plus21","Clinton","D",42.8,38.09451,"plus",22
"lv",1203,"Ipsos",2015-12-31,2016-01-04,"A-",7.06e-06,7.06e-06,2.75e-08,"now21","Clinton","D",42.8,38.0273,"now",22
"lv",1203,"Ipsos",2015-12-31,2016-01-04,"A-",7.06e-06,7.06e-06,2.75e-08,"polls21","Trump","R",35.6,34.0298,"polls",22
"lv",1203,"Ipsos",2015-12-31,2016-01-04,"A-",7.06e-06,7.06e-06,2.75e-08,"plus21","Trump","R",35.6,33.95655,"plus",22
"lv",1203,"Ipsos",2015-12-31,2016-01-04,"A-",7.06e-06,7.06e-06,2.75e-08,"now21","Trump","R",35.6,34.48728,"now",22
"rv",9405,"SurveyMonkey",2016-04-18,2016-04-24,"C-",7.73e-06,7.73e-06,4.33e-07,"polls22","Clinton","D",44,40.24368,"polls",23
"rv",9405,"SurveyMonkey",2016-04-18,2016-04-24,"C-",7.73e-06,7.73e-06,4.33e-07,"plus22","Clinton","D",44,40.20883,"plus",23
"rv",9405,"SurveyMonkey",2016-04-18,2016-04-24,"C-",7.73e-06,7.73e-06,4.33e-07,"now22","Clinton","D",44,39.74642,"now",23
"rv",9405,"SurveyMonkey",2016-04-18,2016-04-24,"C-",7.73e-06,7.73e-06,4.33e-07,"polls22","Trump","R",36,35.93823,"polls",23
"rv",9405,"SurveyMonkey",2016-04-18,2016-04-24,"C-",7.73e-06,7.73e-06,4.33e-07,"plus22","Trump","R",36,35.97026,"plus",23
"rv",9405,"SurveyMonkey",2016-04-18,2016-04-24,"C-",7.73e-06,7.73e-06,4.33e-07,"now22","Trump","R",36,36.43912,"now",23
"rv",11498,"SurveyMonkey",2016-04-11,2016-04-17,"C-",7.77e-06,7.77e-06,3.67e-07,"polls23","Clinton","D",48,43.96151,"polls",24
"rv",11498,"SurveyMonkey",2016-04-11,2016-04-17,"C-",7.77e-06,7.77e-06,3.67e-07,"plus23","Clinton","D",48,43.92445,"plus",24
"rv",11498,"SurveyMonkey",2016-04-11,2016-04-17,"C-",7.77e-06,7.77e-06,3.67e-07,"now23","Clinton","D",48,43.37313,"now",24
"rv",11498,"SurveyMonkey",2016-04-11,2016-04-17,"C-",7.77e-06,7.77e-06,3.67e-07,"polls23","Trump","R",39,38.93051,"polls",24
